,$,private,public,rpar,lpar,dot,float,integer,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,id,attribute,constructorkeyword,function,localvar,rsqbr,lsqbr,arrow,sr,not,floatnum,class,assign,intnum,or,eof
RELOPOP,,,,,,,,,,,,,,,,,,,,,,,RELOPOP ? RELOP,RELOPOP ? RELOP,RELOPOP ? RELOP,RELOPOP ? RELOP,RELOPOP ? RELOP,RELOPOP ? RELOP,,,,,,,,,,,,,,,,,,,,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,RELOP ? geq,RELOP ? leq,RELOP ? gt,RELOP ? lt,RELOP ? neq,RELOP ? eq,,,,,,,,,,,,,,,,,,,,,
REPTAPARAMS1,,,,REPTAPARAMS1 ? &epsilon,,,,,,,,,,,,,,,,,,REPTAPARAMS1 ? APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTARRAYSIZE,,,,REPTARRAYSIZE ? &epsilon,,,,,REPTARRAYSIZE ? &epsilon,,,,,,,,,,,,,REPTARRAYSIZE ? &epsilon,,,,,,,,,,,,,,,,,,REPTARRAYSIZE ? ARRAYSIZE REPTARRAYSIZE,,,,,,,,,
REPTFPARAMS4,,,,REPTFPARAMS4 ? &epsilon,,,,,,,,,,,,,,,,,,REPTFPARAMS4 ? FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTIDNEST1,,,,REPTIDNEST1 ? &epsilon,,REPTIDNEST1 ? &epsilon,,,REPTIDNEST1 ? &epsilon,,,,,,,,,,REPTIDNEST1 ? &epsilon,REPTIDNEST1 ? &epsilon,,REPTIDNEST1 ? &epsilon,REPTIDNEST1 ? &epsilon,REPTIDNEST1 ? &epsilon,REPTIDNEST1 ? &epsilon,REPTIDNEST1 ? &epsilon,REPTIDNEST1 ? &epsilon,REPTIDNEST1 ? &epsilon,,REPTIDNEST1 ? &epsilon,REPTIDNEST1 ? &epsilon,REPTIDNEST1 ? &epsilon,,,,,,,REPTIDNEST1 ? &epsilon,REPTIDNEST1 ? INDICE REPTIDNEST1,,,,,,REPTIDNEST1 ? &epsilon,,REPTIDNEST1 ? &epsilon,
REPTINHERITSLIST,,,,,,,,,,,,,,,,,,REPTINHERITSLIST ? &epsilon,,,,REPTINHERITSLIST ? comma ID REPTINHERITSLIST,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTLOCALVARORSTAT,,,,,,,,,,REPTLOCALVARORSTAT ? LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT ? LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT ? LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT ? LOCALVARORSTAT REPTLOCALVARORSTAT,,,REPTLOCALVARORSTAT ? LOCALVARORSTAT REPTLOCALVARORSTAT,REPTLOCALVARORSTAT ? &epsilon,,,,,,,,,,,,,,,,,REPTLOCALVARORSTAT ? LOCALVARORSTAT REPTLOCALVARORSTAT,,,,REPTLOCALVARORSTAT ? LOCALVARORSTAT REPTLOCALVARORSTAT,,,,,,,,,,,
REPTMEMBERDECL,,REPTMEMBERDECL ? VISIBILITY MEMBERDECL REPTMEMBERDECL,REPTMEMBERDECL ? VISIBILITY MEMBERDECL REPTMEMBERDECL,,,,,,,,,,,,,,REPTMEMBERDECL ? &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTPROG0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTPROG0 ? CLASSDECLORFUNCDEF REPTPROG0,,,,,,,,REPTPROG0 ? CLASSDECLORFUNCDEF REPTPROG0,,,,REPTPROG0 ? &epsilon
REPTSTATBLOCK1,,,,,,,,,,REPTSTATBLOCK1 ? STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 ? STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 ? STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 ? STATEMENT REPTSTATBLOCK1,,,REPTSTATBLOCK1 ? STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 ? &epsilon,,,,,,,,,,,,,,,,,REPTSTATBLOCK1 ? STATEMENT REPTSTATBLOCK1,,,,,,,,,,,,,,,
REPTVARIABLE,,,,REPTVARIABLE ? &epsilon,,REPTVARIABLE ? VARIDNEST REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARIABLEORFUNCTIONCALL,,,,REPTVARIABLEORFUNCTIONCALL ? &epsilon,,REPTVARIABLEORFUNCTIONCALL ? IDNEST REPTVARIABLEORFUNCTIONCALL,,,REPTVARIABLEORFUNCTIONCALL ? &epsilon,,,,,,,,,,REPTVARIABLEORFUNCTIONCALL ? &epsilon,REPTVARIABLEORFUNCTIONCALL ? &epsilon,,REPTVARIABLEORFUNCTIONCALL ? &epsilon,REPTVARIABLEORFUNCTIONCALL ? &epsilon,REPTVARIABLEORFUNCTIONCALL ? &epsilon,REPTVARIABLEORFUNCTIONCALL ? &epsilon,REPTVARIABLEORFUNCTIONCALL ? &epsilon,REPTVARIABLEORFUNCTIONCALL ? &epsilon,REPTVARIABLEORFUNCTIONCALL ? &epsilon,,REPTVARIABLEORFUNCTIONCALL ? &epsilon,REPTVARIABLEORFUNCTIONCALL ? &epsilon,REPTVARIABLEORFUNCTIONCALL ? &epsilon,,,,,,,REPTVARIABLEORFUNCTIONCALL ? &epsilon,,,,,,,,,REPTVARIABLEORFUNCTIONCALL ? &epsilon,
RETURNTYPE,,,,,,,RETURNTYPE ? TYPE,RETURNTYPE ? TYPE,,,,,,,,,,,,,RETURNTYPE ? void,,,,,,,,,,,,,RETURNTYPE ? TYPE,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,RIGHTRECARITHEXPR ? &epsilon,,,,,RIGHTRECARITHEXPR ? &epsilon,,,,,,,,,,RIGHTRECARITHEXPR ? ADDOP TERM RIGHTRECARITHEXPR,RIGHTRECARITHEXPR ? ADDOP TERM RIGHTRECARITHEXPR,,RIGHTRECARITHEXPR ? &epsilon,RIGHTRECARITHEXPR ? &epsilon,RIGHTRECARITHEXPR ? &epsilon,RIGHTRECARITHEXPR ? &epsilon,RIGHTRECARITHEXPR ? &epsilon,RIGHTRECARITHEXPR ? &epsilon,RIGHTRECARITHEXPR ? &epsilon,,,,,,,,,,,RIGHTRECARITHEXPR ? &epsilon,,,,,,,,,RIGHTRECARITHEXPR ? ADDOP TERM RIGHTRECARITHEXPR,
RIGHTRECTERM,,,,RIGHTRECTERM ? &epsilon,,,,,RIGHTRECTERM ? &epsilon,,,,,,,,,,RIGHTRECTERM ? &epsilon,RIGHTRECTERM ? &epsilon,,RIGHTRECTERM ? &epsilon,RIGHTRECTERM ? &epsilon,RIGHTRECTERM ? &epsilon,RIGHTRECTERM ? &epsilon,RIGHTRECTERM ? &epsilon,RIGHTRECTERM ? &epsilon,RIGHTRECTERM ? &epsilon,,RIGHTRECTERM ? MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM ? MULTOP FACTOR RIGHTRECTERM,RIGHTRECTERM ? MULTOP FACTOR RIGHTRECTERM,,,,,,,RIGHTRECTERM ? &epsilon,,,,,,,,,RIGHTRECTERM ? &epsilon,
SIGN,,,,,,,,,,,,,,,,,,,SIGN ? minus,SIGN ? plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
